DateTime,AddedIPs,RemovedIPs
1536238666,5120,29952
1536239553,7,6
1536240602,0,1
1536243304,5,0
1536246902,2,8
1536248403,1280,1280
1536250503,8,5
1536254165,3,9
1536258009,10,2
1536258902,256,256
1536259927,1,0
1536260102,256,256
1536261144,5,1
1536264904,2,4
1536266102,256,256
1536267636,256,256
1536268503,4,4
1536272104,1,4
1536273904,256,256
1536275545,4,7
1536279845,10,8
1536280240,512,512
1536282902,17,2
1536286334,6,4
1536290103,6,11
1536290702,0,1
1536293709,4,19
1536297602,4,4
1536300967,3,5
1536304502,3,3
1536304805,1,0
1536306724,15,0
1536308105,2,5
1536308646,14,0
1536310564,5,0
1536311704,2,5
1536314424,1,0
1536315303,6,2
1536318244,1,0
1536318904,2,10
1536322086,2,0
1536322505,7,2
1536325204,1280,73216
1536326702,7,2
1536327844,1,0
1536329764,8,3
1536331688,2,0
1536333609,6,1
1536333901,1536,1536
1536336904,3,7
1536337685,258,256
1536339628,2,0
1536340504,2,3
1536344102,2,5
1536344702,256,256
1536347704,3,6
1536351127,2,0
1536351304,4,9
1536354965,4,5
1536356884,1,0
1536358504,6,3
1536358805,2,0
1536362107,3,7
1536364822,3,0
1536365704,16,3
1536366727,256,256
1536368702,256,256
1536369157,13,2
1536370564,1,0
1536372801,8,1
1536376324,256,256
1536376520,3,8
1536377434,256,256
1536380404,5,30
1536383703,3,4
1536387197,2,8
1536390244,1,0
1536390903,4,2
1536394366,3,5
1536395405,1,0
1536398103,0,2
1536401763,2,2
1536405125,2,5
1536408903,2,4
1536409458,1,0
1536411638,4096,29696
1536412504,3,7
1536416104,6,2
1536419047,1,0
1536419704,4,4
1536420345,1024,1024
1536423307,5,2
1536424026,256,256
1536426965,3,4
1536430367,4,7
1536431006,256,256
1536434104,3,4
1536437703,4,1
1536441163,1,3
1536444783,2,4
1536445522,256,256
1536448085,256,256
1536448504,5,2
1536449415,256,256
1536452182,31,1
1536456002,3,2
1536459607,5,2
1536462904,3,20
1536466360,3,7
1536470102,4,3
1536473533,0,5
1536477302,4,2
1536480965,4,4
1536484809,4,7
1536488103,1,2
1536491704,7,2
1536495306,3,3
1536498248,1536,2048
1536498768,3,3
1536502563,0,4
1536505954,3,4
1536509709,515,518
1536510625,256,256
1536512423,256,256
1536513201,7,8
1536516904,13,0
1536517502,256,256
1536520504,3,2
1536524104,4,3
1536525004,256,256
1536527704,1,5
1536531363,4,9
1536535208,5,3
1536538504,21,5
1536539044,256,256
1536542102,1,3
1536545102,0,1
1536545704,7,4
1536549304,4,24
1536552485,0,1
1536552602,1,0
1536552902,5,6
1536554407,1,0
1536556503,2,1
1536557701,0,1
1536558244,1,0
1536560166,6,6
1536563703,2,5
1536567304,8,7
1536570903,3,7
1536573846,2,0
1536574504,3,4
1536575764,4,0
1536577684,1,0
1536578103,4,6
1536581526,1,0
1536582002,6,7
1536582604,1,0
1536584102,256,0
1536585364,9,4
1536589208,3,2
1536592503,6,2
1536593043,1,0
1536593405,1536,1536
1536595225,256,256
1536596102,5,3
1536596888,1,0
1536598819,2,1
1536599102,1,0
1536599703,0,3
1536600724,256,256
1536602648,2,0
1536603304,1,1
1536603902,0,1
1536604566,1,0
1536604802,256,256
1536606487,257,256
1536606904,3,3
1536607384,256,256
1536610503,2,3
1536611102,256,256
1536614409,6,3
1536615003,256,256
1536617514,4,5
1536618902,512,512
1536621304,1,4
1536624906,6,1
1536625926,512,512
1536627845,1,0
1536628389,24,3
1536632104,2,13
1536633605,256,256
1536635704,7,6
1536639368,6,9
1536639602,0,10496
1536643210,6,5
1536646504,3,3
1536650104,4,7
1536653050,1,0
1536653704,2,4
1536655210,6,0
1536657126,2,0
1536657304,5,4
1536660968,4,4
1536662887,3,0
1536664809,5,3
1536665134,0,1
1536666730,1,0
1536668103,3,3
1536668655,2,0
1536670836,6656,26880
1536671570,3,3
1536674437,256,256
1536675303,3,3
1536675875,512,512
1536678905,259,262
1536682502,2,3
1536686650,5,4
1536689702,2,6
1536690488,256,256
1536693302,3,2
1536696903,5,5
1536700503,9,6
1536704109,6,4
1536707766,4,5
1536711304,24,1
1536712815,256,256
1536714903,5,4
1536718502,6,2
1536719286,256,256
1536722104,3,21
1536725704,4,7
1536729302,5,8
1536733201,0,7
1536733600,256,256
1536734645,1,0
1536736576,4,3
1536740101,4,4
1536740404,1,0
1536743703,3,3
1536746402,0,1
1536747304,2,5
1536748088,1,1
1536750020,1,1
1536750903,2,3
1536754502,3,3
1536756902,3328,25344
1536758103,4,2
1536759603,1,0
1536761704,2,6
1536762395,1280,1280
1536765363,4,0
1536769206,3,4
1536771131,256,256
1536772505,5,6
1536773047,1,0
1536776103,5,4
1536777004,256,256
1536779705,6,3
1536783078,6,1
1536784202,2,0
1536786903,259,261
1536788404,1,0
1536790325,256,256
1536790504,1,5
1536793244,256,256
1536794165,4,4
1536797673,40,3
1536798011,1,0
1536798902,512,512
1536801848,6,3
1536803102,1,0
1536804002,1,0
1536804904,8,4
1536807619,1,0
1536808503,3,24
1536810302,1,0
1536811445,1,0
1536812103,5,9
1536815703,6,4
1536816602,1,0
1536817205,1,0
1536819124,256,256
1536819303,2,10
1536823204,3,8
1536826368,12,4
1536828302,1,0
1536830134,6,5
1536833704,3,3
1536834621,1,0
1536837151,4,6
1536840978,5,2
1536843651,1024,44032
1536844371,6,4
1536848644,1,4
1536850566,4,0
1536851704,6,3
1536852484,768,768
1536854415,1,0
1536855304,7,9
1536858244,9,0
1536858904,6,3
1536862084,3,0
1536862503,2,4
1536863405,256,256
1536865924,1,0
1536866103,2,2
1536869765,1,4
1536873177,2,6
1536876902,10,5
1536877806,256,256
1536880374,5,4
1536882002,1,0
1536884104,8,3
1536885602,256,256
1536887707,17,4
1536889207,1,0
1536891148,5,5
1536894964,5,15
1536898809,4,20
1536899701,256,256
1536901237,256,256
1536901969,5,5
1536905703,6,5
1536909466,5,7
1536912903,7,6
1536916503,3,6
1536917409,0,1
1536919249,256,256
1536920166,5,4
1536924010,2,4
1536927305,4,3
1536928090,256,256
1536930030,2049,31744
1536930903,4,2
1536931928,769,768
1536933845,1,0
1536934504,3,2
1536938104,0,5
1536938867,256,256
1536939849,1,0
1536941771,2,1
1536943802,0,1
1536944102,1,0
1536945137,2,4
1536948903,4,3
1536952504,3,7
1536954304,0,2
1536956102,6,4
1536960002,5,4
1536963303,6,2
1536964319,256,256
1536966904,1,0
1536967447,2,2
1536970502,6,1
1536971762,256,256
1536974103,13,2
1536977702,3,3
1536981303,5,8
1536985502,4,12
1536986102,1,0
1536987302,0,1
1536987902,256,256
1536988569,0,2
1536992102,1,3
1536995702,4,5
1536999304,3,6
1537002902,2,2
1537003849,1,1
1537004402,0,1
1537004702,2,1
1537006505,6,3
1537010102,1,3
1537013804,4,5
1537016102,1280,29952
1537017303,1,8
1537020051,2,0
1537020768,4,1
1537021802,0,1
1537022402,1,0
1537024503,2,2
1537025531,1,0
1537028104,6,0
1537031702,2,4
1537035364,4,4
1537039207,4,2
1537042345,3,6
1537046190,6,2
1537049703,3,6
1537053302,4,5
1537056912,11,2
1537060503,27,8
1537064166,13,4
1537067533,3,9
1537071304,1,35
1537074905,4,4
1537078503,4,10
1537082103,1,2
1537085703,5,6
1537089303,4,3
1537093208,4,3
1537096504,2,4
1537100104,2,5
1537102821,3328,3328
1537103703,5,6
1537106648,0,1
1537107302,4,4
1537110903,5,6
1537111803,1024,1024
1537114504,4,12
1537114888,256,256
1537118164,17,2
1537121702,7,5
1537122244,256,256
1537125304,3,1
1537128903,5,2
1537132502,1,6
1537136170,4,5
1537137302,256,256
1537139703,3,4
1537143305,22,4
1537144089,256,256
1537146906,3,3
1537150310,11,3
1537154147,12,16
1537157764,6,7
1537161610,6,3
1537164903,5,7
1537168502,5,11
1537172102,8,5
1537175701,6,6
1537179304,5,7
1537183202,7,4
1537186573,7,5
1537189244,2816,0
1537190407,7,9
1537193705,6,6
1537194902,1024,1024
1537197968,3,6
1537200906,5,6
1537204324,1,0
1537204504,6,5
1537206602,0,1
1537208164,7,8
1537210087,1,0
1537210828,1,0
1537211510,4,4
1537215303,7,6
1537216202,256,256
1537218904,4,10
1537222502,6,4
1537223528,257,256
1537225444,1,0
1537226102,3,4
1537229704,13,5
1537233365,18,5
1537237204,9,4
1537240504,10,13
1537244102,5,14
1537247703,7,4
1537251104,5,5
1537254908,3,13
1537258503,8,2
1537260247,1,0
1537262165,8,6
1537266004,6,4
1537269308,4,8
1537272016,1,0
1537272903,6,6
1537273928,256,256
1537275848,0,24832
1537276502,6,11
1537278005,1,0
1537279925,1,0
1537280402,5,8
1537283768,10,4
1537288328,260,260
1537290903,3,6
1537294505,6,3
1537296902,1,0
1537298164,3,3
1537302006,3,1
1537305107,7,6
1537308902,5,5
1537312503,260,260
1537313528,256,256
1537316147,258,260
1537319703,15,7
1537323602,7,3
1537326963,8,3
1537330334,3,22
1537333235,1,0
1537333959,5,8
1537337703,3,12
1537340646,2,0
1537341302,8,7
1537344902,3,2
1537348326,1,0
1537348501,6,4
1537352168,3,7
